,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1932798,STANDING PASSENGERS INC.,STANDING PASSENGERS INC.,2446708,Restaurants,Medium,1458 W Chicago AVE,"Chicago,IL,60642",2016-06-15T00:00:00Z,License Inspections,PASS
1,2009414,BRITISH AIRWAYS,BRITISH AIRWAYS-1ST CLASS (T5-M12),2517808,Restaurants,Medium,11601 W TOUHY AVE,",IL,60666",2017-03-28T00:00:00Z,License Inspections,FAIL
2,1989214,HALSTED STREET DELI & BAGEL,,2358755,Restaurants,High,133 N WELLS ST,",IL,",2017-02-16T00:00:00Z,Canvass Inspections,OUT OF BUSINESS
3,229238,KENDALL COLLEGE,COOKTEK PASTRY #1,2013962,School,High,900 N NORTH BRANCH ST,"Chicago,IL,60642",2010-02-19T00:00:00Z,License Inspections,PASS
4,1589085,McDONALDS,MCDONALD'S,2397974,Restaurants,Medium,23 N WESTERN AVE,"Chicago,IL,60612",2015-12-02T00:00:00Z,Re-Inspections (Complaint),OUT OF BUSINESS
5,1115029,SPORT SERVICE SOLDIER FIELD,SUITE PANTRY B,1354323,Restaurants,Medium,1410 S MUSEUM CAMPUS DR.,",IL,",2013-09-19T00:00:00Z,Canvass Inspections,OUT OF BUSINESS;
6,1490851,AFRACAN FOOD,AFRACAN FOOD,1681317,Grocery Store,Medium,4348 N ELSTON AVE,"Chicago,IL,60641",2014-07-22T00:00:00Z,Canvass Inspections,OUT OF BUSINESS
7,1361350,CMM CATERING COMPANY,,2153524,Restaurants,High,1527 W CHICAGO,"Chicago,IL,60642",2013-09-19T00:00:00Z,Complaint Inspections,FAIL
8,1990118,7-ELEVEN # 37622A,7 ELEVEN,2442933,Grocery Store,High,4 W JACKSON BLVD,",IL,",2017-03-07T00:00:00Z,Canvass Inspections,OUT OF BUSINESS
9,670285,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,Restaurants,Medium,23 N WESTERN AVE,"Chicago,IL,60612",2012-02-07T00:00:00Z,Complaint Inspections,PASS
