,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,215218,GOOD EARTH MARKET,GOOD EARTH MARKET,2017278,Grocery Store,Risk 2 (Medium),6190 S ARCHER AVE,"CHCICAGO,IL,60638",,License,Fail
1,1932844,DURAN_EUROPEAN_SANDWICHES_CAFE,Duran European Sandwiches Cafe,2202881,Restaurant,Risk 1 (High),529 N Milwaukee AVE,"Chicago,IL,60642",,Canvass,Out of Business
2,419250,OSCO DRUG #3632,OSCO DRUG #3632,2037183,Liquor,Risk 3 (Low),3630 N SOUTHPORT AVE,",IL,",2010-10-06,License,Fail
3,1372472,THE ALLERTON HOTEL,THE ALLERTON HOTEL,1920830,Restaurant,Risk 1 (High),701 N Michigan AVE,"Chicago,IL,60611",2014-03-27,Complaint,Pass
4,347310,__SUPREME_CATERING__,SUPREME CATERING,1141310,Mobile Food Dispenser,Risk 3 (Low),1900 MAYWOOD DR,"MAYWOOD,IL,60153",2011-04-06,License,Pass
5,1096400,"BERGSTEIN'S NY DELICATESSEN, LLC",BERGSTEIN'S NY DELICATESSEN,2060558,Mobile Food Dispenser,Risk 3 (Low),200 DIXIE HWY,"CHICAGO HEIGHTS,IL,60411",,Consultation,Pass
6,166226,TOTALLY TURKEY,Totally Turkey,1985478,Restaurant,Risk 1 (High),2621 W 71st ST BLDG,"Chicago,IL,60629",2010-11-03,Canvass,Out of Business
7,1296407,SOUTH SHORE HIGH NO.,South Shore High North,70201,School,Risk 1 (High),7529 S Constance  (1832E),"CHARLES A HAYES,IL,60649",2013-06-06,Canvass,Out of Business
8,1114725,BURGER KING #1310,BURGER KING,2232344,Restaurant,Risk 2 (Medium),2320-2322 S MICHIGAN AVE,",IL,",2013-03-18,License,Pass
9,1402097,RESTAURANT DEPOT/JETRO CASH & CARRY,RESTAURANT DEPOT/JETRO CASH & CARRY,2065181,Wholesale,Risk 3 (Low),1030 W DIVISION ST,"CCHICAGO,IL,60642",2014-03-19,Complaint Re-inspection,Pass
